epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,229.384,1.45445,6.31974,0.01151,0.00312,0.65022,0.02475,0.01417,1.13403,3.56609,0.02222,0.000553986,0.000184662,0.000553986,0.000184662,0.000553986,0.000184662,0.000553986,0.000184662
2,379.508,1.37751,5.2792,0.01059,0.91995,0.05278,0.08019,0.04993,1.10396,3.02248,0.02102,0.001099,0.000366332,0.001099,0.000366332,0.001099,0.000366332,0.001099,0.000366332
3,522.011,1.37983,4.55638,0.01023,0.77663,0.11763,0.15539,0.10253,1.12909,2.52439,0.02211,0.001633,0.000544333,0.001633,0.000544333,0.001633,0.000544333,0.001633,0.000544333
4,660.597,1.36556,4.12872,0.01102,0.65494,0.22253,0.25732,0.17625,1.1551,2.13154,0.02307,0.00161846,0.000539487,0.00161846,0.000539487,0.00161846,0.000539487,0.00161846,0.000539487
5,801.024,1.36853,3.61027,0.01052,0.64095,0.34213,0.37084,0.25448,1.16223,1.74447,0.02347,0.00160195,0.000533982,0.00160195,0.000533982,0.00160195,0.000533982,0.00160195,0.000533982
6,940.035,1.36748,3.28083,0.0105,0.61925,0.40468,0.41859,0.28523,1.16469,1.5549,0.02366,0.00158543,0.000528478,0.00158543,0.000528478,0.00158543,0.000528478,0.00158543,0.000528478
7,1080.41,1.35197,3.10686,0.0107,0.60682,0.4027,0.45303,0.31496,1.16457,1.44781,0.02371,0.00156892,0.000522974,0.00156892,0.000522974,0.00156892,0.000522974,0.00156892,0.000522974
8,1220.81,1.34377,2.83954,0.01028,0.61886,0.4188,0.49321,0.34135,1.14481,1.402,0.02304,0.00155241,0.000517469,0.00155241,0.000517469,0.00155241,0.000517469,0.00155241,0.000517469
9,1359.72,1.32769,2.64182,0.01037,0.49553,0.54257,0.52719,0.37614,1.12506,1.35325,0.02236,0.00153589,0.000511965,0.00153589,0.000511965,0.00153589,0.000511965,0.00153589,0.000511965
10,1500.15,1.32493,2.48429,0.0102,0.57597,0.50169,0.55664,0.39737,1.14349,1.26879,0.02265,0.00151938,0.00050646,0.00151938,0.00050646,0.00151938,0.00050646,0.00151938,0.00050646
11,1641.81,1.34386,2.31389,0.00992,0.57886,0.57133,0.57622,0.41985,1.14477,1.19033,0.02295,0.00150287,0.000500956,0.00150287,0.000500956,0.00150287,0.000500956,0.00150287,0.000500956
12,1782.81,1.33942,2.16307,0.00984,0.59698,0.59315,0.6286,0.46657,1.14114,1.16366,0.023,0.00148635,0.000495452,0.00148635,0.000495452,0.00148635,0.000495452,0.00148635,0.000495452
13,1922.51,1.30347,2.04466,0.01001,0.5663,0.61378,0.64187,0.48115,1.13647,1.1377,0.02248,0.00146984,0.000489947,0.00146984,0.000489947,0.00146984,0.000489947,0.00146984,0.000489947
14,2063.87,1.30808,1.9662,0.01011,0.62475,0.64386,0.66404,0.49571,1.12921,1.0931,0.0223,0.00145333,0.000484443,0.00145333,0.000484443,0.00145333,0.000484443,0.00145333,0.000484443
15,2204.52,1.31683,1.85452,0.00967,0.62307,0.62337,0.64881,0.47944,1.15315,1.11332,0.0229,0.00143682,0.000478938,0.00143682,0.000478938,0.00143682,0.000478938,0.00143682,0.000478938
16,2344.75,1.31419,1.79031,0.00997,0.64019,0.61764,0.66641,0.49807,1.15188,1.06471,0.02316,0.0014203,0.000473434,0.0014203,0.000473434,0.0014203,0.000473434,0.0014203,0.000473434
17,2485.34,1.29486,1.7084,0.00988,0.64465,0.65236,0.6844,0.51098,1.14784,1.06202,0.02319,0.00140379,0.00046793,0.00140379,0.00046793,0.00140379,0.00046793,0.00140379,0.00046793
18,2623.26,1.29584,1.62545,0.00992,0.65076,0.66279,0.69286,0.52385,1.13037,1.02036,0.02257,0.00138728,0.000462425,0.00138728,0.000462425,0.00138728,0.000462425,0.00138728,0.000462425
19,2763.07,1.27988,1.57359,0.00984,0.67528,0.66454,0.68899,0.52282,1.12462,1.02444,0.02196,0.00137076,0.000456921,0.00137076,0.000456921,0.00137076,0.000456921,0.00137076,0.000456921
20,2902.61,1.28643,1.49349,0.00952,0.65777,0.6386,0.695,0.52745,1.12693,1.00471,0.02216,0.00135425,0.000451416,0.00135425,0.000451416,0.00135425,0.000451416,0.00135425,0.000451416
